# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
175,1.5000000e+03,4.0000000e-07,1.7000000e-06
175,1.6000000e+03,2.9000000e-07,1.2000000e-06
175,1.7000000e+03,2.3000000e-07,9.4000000e-07
175,1.8000000e+03,1.7500000e-07,7.4000000e-07
175,1.9000000e+03,1.4000000e-07,6.0000000e-07
175,2.0000000e+03,1.0900000e-07,5.2000000e-07
200,1.1000000e+02,7.8000000e+01,7.8000000e+01
200,1.2000000e+02,2.4900000e+01,2.4900000e+01
200,1.3000000e+02,8.0680000e+00,8.3810000e+00
200,1.4000000e+02,3.8110000e+00,3.9640000e+00
200,1.5000000e+02,2.1300000e+00,2.2220000e+00
200,1.6000000e+02,1.3130000e+00,1.3860000e+00
200,1.7000000e+02,8.5680000e-01,9.2780000e-01
200,1.8000000e+02,5.9370000e-01,6.5310000e-01
200,1.9000000e+02,4.2380000e-01,4.7720000e-01
200,2.0000000e+02,3.1000000e-01,3.5990000e-01
200,2.1000000e+02,2.2970000e-01,2.7780000e-01
200,2.2000000e+02,1.7320000e-01,2.1940000e-01
200,2.3000000e+02,1.3260000e-01,1.7590000e-01
200,2.4000000e+02,1.0290000e-01,1.4280000e-01
200,2.5000000e+02,8.0730000e-02,1.1710000e-01
200,2.6000000e+02,6.3980000e-02,9.6890000e-02
200,2.7000000e+02,5.1170000e-02,8.0800000e-02
200,2.8000000e+02,4.1240000e-02,6.7840000e-02
200,2.9000000e+02,3.3490000e-02,5.7350000e-02
200,3.0000000e+02,2.7350000e-02,4.8850000e-02
200,3.2000000e+02,1.8380000e-02,3.5950000e-02
200,3.4000000e+02,1.2600000e-02,2.6870000e-02
200,3.6000000e+02,8.7780000e-03,2.0350000e-02
200,3.8000000e+02,6.2050000e-03,1.5600000e-02
200,4.0000000e+02,4.4410000e-03,1.2070000e-02
200,4.2000000e+02,3.2100000e-03,9.4170000e-03
200,4.4000000e+02,2.3430000e-03,7.4110000e-03
200,4.6000000e+02,1.7230000e-03,5.8740000e-03
200,4.8000000e+02,1.2760000e-03,4.6860000e-03
200,5.0000000e+02,9.5060000e-04,3.7600000e-03
200,5.2000000e+02,7.1220000e-04,3.0330000e-03
200,5.4000000e+02,5.3620000e-04,2.4580000e-03
200,5.6000000e+02,4.0570000e-04,2.0010000e-03
200,5.8000000e+02,3.0830000e-04,1.6350000e-03
200,6.0000000e+02,2.3540000e-04,1.3410000e-03
200,6.2000000e+02,1.8050000e-04,1.1040000e-03
200,6.4000000e+02,1.3900000e-04,9.1140000e-04
200,6.6000000e+02,1.0760000e-04,7.5470000e-04
200,6.8000000e+02,8.3720000e-05,6.2670000e-04
200,7.0000000e+02,6.5490000e-05,5.2180000e-04
200,7.2000000e+02,5.1530000e-05,4.3550000e-04
200,7.4000000e+02,4.0800000e-05,3.6430000e-04
200,7.6000000e+02,3.2530000e-05,3.0550000e-04
200,7.8000000e+02,2.6130000e-05,2.5670000e-04
200,8.0000000e+02,2.1160000e-05,2.1620000e-04
200,8.5000000e+02,1.3000000e-05,1.4000000e-04
200,9.0000000e+02,7.9000000e-06,9.4000000e-05
200,9.5000000e+02,5.0000000e-06,6.4000000e-05
200,1.0000000e+03,3.5000000e-06,4.4000000e-05
200,1.1000000e+03,2.1000000e-06,2.2000000e-05
200,1.2000000e+03,1.3000000e-06,1.1000000e-05
200,1.3000000e+03,9.0000000e-07,6.2000000e-06
200,1.4000000e+03,6.8000000e-07,3.6000000e-06
200,1.5000000e+03,5.0000000e-07,2.2500000e-06
200,1.6000000e+03,3.7000000e-07,1.5500000e-06
200,1.7000000e+03,3.0000000e-07,1.2000000e-06
200,1.8000000e+03,2.3200000e-07,9.0000000e-07
200,1.9000000e+03,1.8200000e-07,7.3000000e-07
200,2.0000000e+03,1.4500000e-07,6.0000000e-07
225,1.1000000e+02,7.8000000e+01,7.8000000e+01
225,1.2000000e+02,2.4900000e+01,2.4900000e+01
225,1.3000000e+02,7.9560000e+00,8.2620000e+00
225,1.4000000e+02,3.7770000e+00,3.9290000e+00
225,1.5000000e+02,2.1280000e+00,2.2210000e+00
225,1.6000000e+02,1.3240000e+00,1.3970000e+00
225,1.7000000e+02,8.7820000e-01,9.4480000e-01
225,1.8000000e+02,6.1190000e-01,6.7050000e-01
225,1.9000000e+02,4.3800000e-01,4.9380000e-01
225,2.0000000e+02,3.2300000e-01,3.7510000e-01
225,2.1000000e+02,2.4410000e-01,2.9130000e-01
225,2.2000000e+02,1.8680000e-01,2.3170000e-01
225,2.3000000e+02,1.4450000e-01,1.8700000e-01
225,2.4000000e+02,1.1330000e-01,1.5280000e-01
225,2.5000000e+02,8.9760000e-02,1.2620000e-01
225,2.6000000e+02,7.1820000e-02,1.0510000e-01
225,2.7000000e+02,5.7950000e-02,8.8200000e-02
225,2.8000000e+02,4.7130000e-02,7.4520000e-02
225,2.9000000e+02,3.8500000e-02,6.3470000e-02
225,3.0000000e+02,3.1540000e-02,5.4390000e-02
225,3.2000000e+02,2.1520000e-02,4.0480000e-02
225,3.4000000e+02,1.4960000e-02,3.0590000e-02
